symbol,Listing date,,
6919,113.10.02,,
6923,113.09.25,,
6969,113.09.09,,
3716,113.09.02,,
6958,113.08.20,,
6838,113.08.13,,
3150,113.06.27,,
6957,113.06.25,,
6951,113.06.18,,
6952,113.06.13,,
6890,113.06.12,,
6794,113.05.21,,
6771,113.05.17,,
6928,113.05.16,,
6423,113.05.15,,
1563,113.05.13,,
4949,113.05.09,,
6914,113.05.03,,
3168,113.03.26,,
8487,113.03.26,,
4771,113.03.18,,
6949,113.03.08,,
8162,113.03.07,,
4588,113.01.29,,
6446,113.01.25,,
2762,113.01.24,,
6906,113.01.15,,
4736,112.12.22,,
6534,112.12.21,,
6645,112.12.21,,
6472,112.12.19,,
6937,112.12.12,,
6742,112.12.05,,
6916,112.12.05,,
5292,112.11.21,,
2258,112.11.20,,
6805,112.11.09,,
6933,112.11.08,,
6658,112.11.02,,
8476,112.10.31,,
2254,112.10.20,,
6526,112.10.19,,
6901,112.09.19,,
6757,112.08.15,,
4569,112.07.31,,
6902,112.07.13,,
6657,112.06.12,,
2432,112.05.31,,
6861,112.03.27,,
6606,112.03.24,,
6863,112.03.21,,
2645,112.03.14,,
6869,112.03.14,,
6753,112.03.10,,
6873,112.03.06,,
3447,111.12.15,,
6782,111.11.28,,
6835,111.11.10,,
6695,111.11.04,,
3652,111.09.21,,
6689,111.09.13,,
6834,111.09.01,,
6830,111.08.31,,
3715,111.08.25,,
6854,111.08.18,,
6789,111.06.30,,
6550,111.06.06,,
6796,111.06.01,,
6585,111.05.20,,
6799,111.05.12,,
4583,111.05.09,,
6807,111.04.25,,
8438,111.03.11,,
5306,111.03.08,,
1752,111.01.19,,
5244,111.01.19,,
6719,111.01.13,,
3592,111.01.07,,
6691,111.01.03,,
4770,110.12.22,,
6792,110.12.08,,
6770,110.12.06,,
2945,110.11.30,,
6806,110.11.15,,
5222,110.10.25,,
4440,110.10.25,,
6790,110.09.29,,
2753,110.09.09,,
2250,110.05.31,,
3092,110.05.13,,
6768,110.04.22,,
2211,110.04.12,,
6776,110.03.31,,
6426,110.03.24,,
6781,110.03.22,,
6515,110.01.20,,
6438,110.01.19,,
3714,110.01.06,,
6756,109.12.24,,
1597,109.12.23,,
6743,109.12.14,,
3138,109.12.11,,
1342,109.11.24,,
2247,109.10.12,,
2241,109.08.26,,
6754,109.08.25,,
6598,109.06.09,,
5546,109.05.20,,
3543,109.04.15,,
4581,109.03.09,,
6706,108.12.19,,
1795,108.12.16,,
6715,108.12.12,,
6592,108.12.09,,
4439,108.12.05,,
6698,108.11.25,,
6491,108.10.07,,
4571,108.09.17,,
2233,108.09.17,,
4572,108.09.10,,
4576,108.09.04,,
5283,108.05.24,,
6672,108.04.17,,
3563,108.04.02,,
6669,108.03.27,,
8462,108.03.15,,
4564,108.03.07,,
8104,108.01.17,,
4967,108.01.14,,
1341,107.12.24,,
6670,107.12.18,,
6668,107.12.12,,
6671,107.12.11,,
6558,107.12.05,,
6655,107.11.28,,
4766,107.11.28,,
6674,107.11.28,,
6666,107.11.19,,
5876,107.10.19,,
4961,107.10.17,,
3712,107.10.01,,
6641,107.09.21,,
8367,107.09.12,,
8482,107.08.15,,
4540,107.08.15,,
3530,107.07.16,,
8028,107.07.10,,
4989,107.06.28,,
6288,107.05.09,,
3711,107.04.30,,
6416,107.04.16,,
1587,107.04.16,,
8497,107.03.23,,
2630,107.02.22,,
6625,107.02.07,,
4566,107.02.05,,
6581,107.01.30,,
1760,107.01.23,,
2939,107.01.11,,
4764,107.01.04,,
6591,106.12.28,,
8478,106.12.11,,
4155,106.12.05,,
8499,106.11.24,,
6541,106.10.26,,
6024,106.10.16,,
2243,106.09.27,,
6573,106.09.26,,
4739,106.09.08,,
6579,106.08.21,,
4562,106.08.21,,
4807,106.06.26,,
6582,106.06.14,,
4148,106.06.08,,
4560,106.05.26,,
2897,106.05.05,,
6533,106.03.14,,
5284,106.03.09,,
8481,106.02.24,,
8480,106.01.17,,
6552,106.01.10,,
5258,105.12.30,,
2636,105.12.22,,
3346,105.12.19,,
8488,105.12.13,,
2748,105.11.23,,
4943,105.11.11,,
8442,105.11.08,,
8466,105.11.01,,
2633,105.10.27,,
4438,105.10.18,,
2936,105.09.26,,
1598,105.09.20,,
8473,105.09.08,,
3708,105.08.31,,
4552,105.07.20,,
6477,105.06.21,,
6531,105.05.31,,
2739,105.05.19,,
3528,105.05.18,,
1776,105.05.09,,
6525,105.04.12,,
2069,105.03.22,,
1256,105.03.17,,
2239,105.01.27,,
4545,105.01.06,,
8464,104.12.22,,
6464,104.12.16,,
3321,104.12.15,,
8467,104.12.15,,
4968,104.11.13,,
4763,104.11.09,,
4555,104.10.27,,
4190,104.10.21,,
4557,104.10.12,,
6443,104.10.01,,
4927,104.09.08,,
4551,104.08.10,,
3413,104.07.28,,
6442,104.07.14,,
8463,104.07.13,,
4720,104.06.24,,
6456,104.06.12,,
2236,104.06.03,,
4912,104.05.21,,
6452,104.03.25,,
8341,104.03.23,,
8222,104.01.27,,
6451,104.01.26,,
3416,104.01.23,,
6422,103.12.27,,
3266,103.12.24,,
1558,103.12.23,,
8454,103.12.19,,
6449,103.12.09,,
6431,103.12.04,,
3661,103.10.28,,
1592,103.10.16,,
5288,103.09.25,,
8443,103.09.15,,
2634,103.08.25,,
3437,103.07.09,,
1568,103.05.14,,
8150,103.04.11,,
6409,103.03.31,,
6414,103.03.28,,
5285,103.02.25,,
8996,103.02.14,,
5519,103.02.10,,
1262,103.01.16,,
1340,103.01.14,,
2929,102.12.30,,
4994,102.12.25,,
2115,102.12.25,,
1783,102.12.20,,
5538,102.12.16,,
3338,102.12.13,,
2642,102.12.12,,
6415,102.12.12,,
2712,102.12.03,,
5259,102.12.03,,
6405,102.11.28,,
4755,102.11.27,,
4137,102.11.27,,
2228,102.11.25,,
5243,102.11.25,,
4916,102.11.21,,
4977,102.11.20,,
1786,102.11.12,,
6412,102.11.08,,
5280,102.11.08,,
1817,102.10.24,,
3167,102.10.21,,
4536,102.10.09,,
2731,102.09.24,,
9946,102.09.17,,
3706,102.09.12,,
3682,102.08.05,,
6177,102.08.01,,
4999,102.06.03,,
6504,102.05.07,,
1626,102.03.21,,
3583,102.03.12,,
5264,102.01.25,,
8429,101.12.20,,
1338,101.12.19,,
5521,101.12.18,,
2867,101.12.18,,
5269,101.12.12,,
2923,101.12.07,,
8114,101.11.26,,
4976,101.11.20,,
5225,101.11.05,,
4164,101.10.24,,
9802,101.10.18,,
4915,101.10.05,,
4722,101.08.15,,
5234,101.07.16,,
5907,101.06.06,,
3599,101.05.09,,
4142,101.05.03,,
1589,101.04.27,,
4141,101.04.25,,
1339,101.04.24,,
2722,101.03.14,,
2727,101.03.06,,
4958,100.12.26,,
5215,100.12.26,,
4426,100.12.16,,
5871,100.12.13,,
8427,100.12.06,,
6183,100.12.01,,
8210,100.12.01,,
5880,100.12.01,,
3149,100.11.23,,
6702,100.11.01,,
8411,100.11.01,,
4952,100.11.01,,
4956,100.10.24,,
4960,100.10.24,,
5906,100.10.24,,
5706,100.10.21,,
3679,100.10.05,,
8422,100.10.05,,
3645,100.10.05,,
4144,100.10.05,,
1789,100.09.29,,
3698,100.09.29,,
8011,100.09.19,,
5007,100.09.16,,
8199,100.09.08,,
4984,100.08.31,,
3669,100.08.25,,
1337,100.08.17,,
4934,100.08.16,,
4935,100.07.28,,
3454,100.07.22,,
4942,100.06.27,,
8404,100.05.18,,
3694,100.05.03,,
3665,100.04.21,,
3257,100.03.21,,
4746,100.03.01,,
3598,100.01.11,,
3705,100.01.03,,
4733,99.12.30,,
6214,99.12.30,,
3432,99.12.30,,
3312,99.12.29,,
2114,99.12.29,,
8271,99.12.29,,
3697,99.12.24,,
4737,99.12.23,,
1762,99.12.20,,
1590,99.12.13,,
2637,99.12.01,,
2723,99.11.22,,
2231,99.11.19,,
8215,99.11.12,,
3591,99.11.12,,
3550,99.11.10,,
3673,99.10.29,,
4919,99.09.27,,
6230,99.09.16,,
6278,99.08.24,,
3704,99.08.16,,
3584,99.07.27,,
3686,99.07.20,,
